day,price_close,price_high,price_low,price_open
2017-10-06,307.52,308.8,292.71,294.6
2017-10-05,294.61,297.5,286.5,291.4
2017-10-04,291.79,295.56,288.25,291.82
2017-10-03,292.21,299.4,286.12,296.12
2017-10-02,296.97,303.06,290.6,301.24
2017-10-01,302.92,303.06,286.16,300.99
2017-09-30,301.35,304.76,283.0,291.65
2017-09-29,291.57,303.59,278.42,302.42
2017-09-28,302.42,310.96,294.52,310.38
2017-09-27,310.35,313.0,287.22,288.43
2017-09-26,288.94,295.3,285.22,294.45
2017-09-25,294.94,297.53,282.2,283.48
2017-09-24,283.58,294.22,275.59,285.31
2017-09-23,285.58,286.28,258.95,263.0
2017-09-22,262.89,274.0,250.0,258.17
2017-09-21,258.25,288.04,250.01,283.6
2017-09-20,283.51,293.02,276.43,283.11
2017-09-19,282.62,299.69,275.58,298.0
2017-09-18,298.0,299.91,256.76,257.08
2017-09-17,257.1,263.88,236.03,253.08
2017-09-16,253.08,271.34,240.47,257.38
2017-09-15,257.36,266.0,201.0,223.1
2017-09-14,223.4,280.68,221.6,275.79
2017-09-13,275.25,294.31,255.06,293.96
2017-09-12,293.85,316.5,285.0,297.31
2017-09-11,297.32,305.99,285.75,298.17
2017-09-10,298.0,305.98,273.0,303.86
2017-09-09,303.81,307.96,290.0,305.8
2017-09-08,305.86,335.63,290.01,335.63
2017-09-07,335.35,339.89,323.0,337.36
2017-09-06,337.36,341.6,315.01,316.62
2017-09-05,316.54,323.76,270.0,302.71
2017-09-04,300.0,352.16,275.15,350.62
2017-09-03,350.62,370.2,331.0,351.47
2017-09-02,351.5,392.45,327.0,390.33
2017-09-01,390.0,396.0,384.2,387.98
2017-08-31,387.95,393.0,380.05,383.38
2017-08-30,383.03,390.68,365.0,372.12
2017-08-29,372.37,376.55,345.0,346.83
2017-08-28,346.68,350.29,333.01,347.71
2017-08-27,347.55,347.55,332.38,332.42
2017-08-26,332.38,335.12,324.56,329.55
2017-08-25,329.0,337.22,322.21,323.85
2017-08-24,323.84,327.49,312.4,315.61
2017-08-23,315.61,324.68,311.34,313.43
2017-08-22,312.22,328.8,291.86,319.37
2017-08-21,319.31,353.0,292.71,297.26
2017-08-20,298.4,298.6,292.3,293.13
